iter	Passed	Remaining
0	1	103
1	1	88
2	2	84
3	3	86
4	4	82
5	5	82
6	6	80
7	6	77
8	7	78
9	8	76
10	9	74
11	9	72
12	10	70
13	11	69
14	11	67
15	12	66
16	13	64
17	14	65
18	15	65
19	16	64
20	16	62
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	25	50
34	26	49
35	27	48
36	28	47
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	31	42
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	29
60	44	28
61	45	27
62	45	27
63	46	26
64	47	25
65	48	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
